DateRun,DateFirstAnalyzed,JVRunId,JVBatchId,Platform,SampleType,Amplicon,Samples,,,
8/28/2024,02/03/2025,JVN024,JVB3872,Nanopore,Diet,12SVert,95,,Amplicon,SUM of Samples
8/28/2024,02/03/2025,JVN024,JVB3872,Nanopore,Diet,trnL,95,,,0
9/12/2024,02/03/2025,JVN027,JVB3872,Nanopore,Diet,12SVert,24,,12SVert,4496
9/12/2024,02/03/2025,JVN027,JVB3872,Nanopore,Diet,trnL,24,,16S,185
10/7/2024,11/27/2024,JV278,JVB3872,Illumina,Diet,12SVert,12,,18S,6
10/15/2024,11/27/2024,JV280,JVB3872,Nanopore,Diet,12SVert,95,,trnL,4485
10/15/2024,11/27/2024,JV280,JVB3872,Nanopore,Diet,trnL,95,,Grand Total,9172
11/25/2024,11/27/2024,JV290,JVB3872,Nanopore,Diet,12SVert,285,,,
11/25/2024,11/27/2024,JV290,JVB3872,Nanopore,Diet,trnL,285,,,
11/25/2024,11/27/2024,JV291,JVB3872,Nanopore,Diet,12SVert,285,,,
11/25/2024,11/27/2024,JV291,JVB3872,Nanopore,Diet,trnL,285,,,
12/23/2024,12/24/2024,JV298,JVB3872,Nanopore,Diet,trnL,95,,,
12/23/2024,12/24/2024,JV299,JVB3872,Nanopore,Diet,12SVert,190,,,
12/23/2024,12/24/2024,JV300,JVB3872,Nanopore,Diet,12SVert,95,,,
12/23/2024,12/24/2024,JV300,JVB3872,Nanopore,Diet,trnL,190,,,
01/13/2025,01/13/2025,JV303,JVB3872,Nanopore,Diet,12SVert,190,,,
01/13/2025,01/13/2025,JV303,JVB3872,Nanopore,Diet,trnL,190,,,
01/21/2025,01/21/2025,JV304,JVB3872,Nanopore,Diet,12SVert,190,,,
01/21/2025,01/21/2025,JV304,JVB3872,Nanopore,Diet,trnL,190,,,
01/26/2025,02/03/2025,JV305,JVB3872,Nanopore,Diet,12SVert,95,,,
01/26/2025,02/03/2025,JV305,JVB3872,Nanopore,Diet,trnL,95,,,
01/26/2025,02/03/2025,JV306,JVB3872,Nanopore,Diet,12SVert,190,,,
01/26/2025,02/03/2025,JV306,JVB3872,Nanopore,Diet,trnL,190,,,
01/29/2025,02/03/2025,JV307,JVB3872,Nanopore,Diet,12SVert,190,,,
01/29/2025,02/03/2025,JV307,JVB3872,Nanopore,Diet,trnL,190,,,
02/03/2025,02/03/2025,JV308,JVB3872,Nanopore,Diet,12SVert,190,,,
02/03/2025,02/03/2025,JV308,JVB3872,Nanopore,Diet,trnL,96,,,
02/06/2025,02/11/2025,JV309,JVB3872,Nanopore,Diet,12SVert,190,,,
02/06/2025,02/11/2025,JV309,JVB3872,Nanopore,Diet,trnL,285,,,
02/10/2025,02/11/2025,JV310,JVB3872,Nanopore,Diet,12SVert,95,,,
02/10/2025,02/11/2025,JV310,JVB3872,Nanopore,Diet,trnL,95,,,
02/14/2025,02/17/2025,JV312,JVB3872,Nanopore,Diet,12SVert,190,,,
02/14/2025,02/17/2025,JV312,JVB3872,Nanopore,Diet,trnL,190,,,
02/17/2025,02/17/2025,JV313,JVB3872,Nanopore,Diet,12SVert,95,,,
02/17/2025,02/17/2025,JV313,JVB3872,Nanopore,Diet,trnL,95,,,
02/17/2025,02/17/2025,JV313,JVB3872,Nanopore,Soil,16S,95,,,
02/21/2025,02/25/2025,JV314,JVB3872,Nanopore,Diet,12SVert,190,,,
02/21/2025,02/25/2025,JV314,JVB3872,Nanopore,Diet,trnL,190,,,
02/25/2025,02/25/2025,JV315,JVB3872,Nanopore,Diet,12SVert,95,,,
02/25/2025,02/25/2025,JV315,JVB3872,Nanopore,Diet,trnL,95,,,
02/25/2025,02/25/2025,JV315,JVB3872,Nanopore,Soil,16S,84,,,
03/06/2025,03/14/2025,JV316,JVB3872,Nanopore,Diet,12SVert,95,,,
03/06/2025,03/14/2025,JV316,JVB3872,Nanopore,Diet,trnL,95,,,
03/07/2025,03/14/2025,JV317,JVB3872,Nanopore,Diet,12SVert,95,,,
03/07/2025,03/14/2025,JV317,JVB3872,Nanopore,Diet,trnL,95,,,
03/10/2025,03/14/2025,JV318,JVB3872,Nanopore,Diet,12SVert,190,,,
03/10/2025,03/14/2025,JV318,JVB3872,Nanopore,Diet,trnL,285,,,
03/10/2025,03/14/2025,JV319,JVB3872,Nanopore,Diet,12SVert,190,,,
03/12/2025,03/14/2025,JV320,JVB3872,Nanopore,Diet,12SVert,95,,,
03/12/2025,03/14/2025,JV320,JVB3872,Nanopore,Diet,trnL,190,,,
03/14/2025,03/14/2025,JV321,JVB3872,Nanopore,Diet,12SVert,95,,,
03/14/2025,03/14/2025,JV321,JVB3872,Nanopore,Diet,trnL,95,,,
03/20/2025,03/20/2025,JV322,JVB3872,Nanopore,Diet,12SVert,190,,,
03/20/2025,03/20/2025,JV322,JVB3872,Nanopore,Diet,trnL,95,,,
03/25/2025,04/02/2025,JV323,JVB3872,Nanopore,Diet,12SVert,95,,,
03/25/2025,04/02/2025,JV323,JVB3872,Nanopore,Diet,trnL,190,,,
03/28/2025,04/02/2025,JV326,JVB3872,Nanopore,Diet,16S,6,,,
03/28/2025,04/02/2025,JV326,JVB3872,Nanopore,Diet,18S,6,,,
03/31/2025,04/02/2025,JV327,JVB3872,Nanopore,Diet,12SVert,188,,,
03/31/2025,04/02/2025,JV327,JVB3872,Nanopore,Diet,trnL,282,,,
04/02/2025,04/02/2025,JV328,JVB3872,Nanopore,Diet,12SVert,282,,,
04/02/2025,04/02/2025,JV328,JVB3872,Nanopore,Diet,trnL,188,,,
